"filename", "language", "C++", "C", "JSON with Comments", "Python", "Java", "Shell Script", "comment", "blank", "total"
"/Users/ralphcao/Git/USACO/USACO practice/stampede.cpp", "C++", 33, 0, 0, 0, 0, 0, 52, 3, 88
"/Users/ralphcao/Git/USACO/USACO practice/standingout.cpp", "C++", 50, 0, 0, 0, 0, 0, 6, 14, 70
"/Users/ralphcao/Git/USACO/USACO practice/standingout2.cpp", "C++", 62, 0, 0, 0, 0, 0, 12, 17, 91
"/Users/ralphcao/Git/USACO/USACO practice/talent.cpp", "C++", 41, 0, 0, 0, 0, 0, 7, 10, 58
"/Users/ralphcao/Git/USACO/USACO practice/talent2.cpp", "C++", 47, 0, 0, 0, 0, 0, 2, 13, 62
"/Users/ralphcao/Git/USACO/USACO practice/taming.cpp", "C++", 55, 0, 0, 0, 0, 0, 6, 9, 70
"/Users/ralphcao/Git/USACO/USACO practice/taming2.cpp", "C++", 45, 0, 0, 0, 0, 0, 4, 12, 61
"/Users/ralphcao/Git/USACO/USACO practice/teleport.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 10, 49
"/Users/ralphcao/Git/USACO/USACO practice/test.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/ralphcao/Git/USACO/USACO practice/wormhole.cpp", "C++", 10, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ralphcao/Git/USACO/codebits/Data Structures/disjoint_set_union.cpp", "C++", 29, 0, 0, 0, 0, 0, 1, 7, 37
"/Users/ralphcao/Git/USACO/codebits/Data Structures/fenwick_tree.cpp", "C++", 27, 0, 0, 0, 0, 0, 2, 5, 34
"/Users/ralphcao/Git/USACO/codebits/Data Structures/fenwick_tree_class.cpp", "C++", 52, 0, 0, 0, 0, 0, 10, 10, 72
"/Users/ralphcao/Git/USACO/codebits/Data Structures/max_queue.cpp", "C++", 30, 0, 0, 0, 0, 0, 2, 6, 38
"/Users/ralphcao/Git/USACO/codebits/Data Structures/segtree/binary_lazy_segtree.cpp", "C++", 113, 0, 0, 0, 0, 0, 18, 13, 144
"/Users/ralphcao/Git/USACO/codebits/Data Structures/segtree/binary_segtree.cpp", "C++", 95, 0, 0, 0, 0, 0, 15, 14, 124
"/Users/ralphcao/Git/USACO/codebits/Data Structures/segtree/binary_segtree_2d_compressed.cpp", "C++", 91, 0, 0, 0, 0, 0, 4, 13, 108
"/Users/ralphcao/Git/USACO/codebits/Data Structures/segtree/lazy_segtree.cpp", "C++", 135, 0, 0, 0, 0, 0, 4, 21, 160
"/Users/ralphcao/Git/USACO/codebits/Data Structures/segtree/persistent_segtree.cpp", "C++", 64, 0, 0, 0, 0, 0, 7, 12, 83
"/Users/ralphcao/Git/USACO/codebits/Data Structures/segtree/segtree.cpp", "C++", 78, 0, 0, 0, 0, 0, 107, 14, 199
